author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
homeowner,1,5,1,37.2,not available,False,155376
real_estate_agent,4,5,2,43.8,not available,False,133562
developer,9,17,1,40.9,not available,False,146406
real_estate_agent,1,5,2,42.0,not available,False,151190
real_estate_agent,12,16,1,41.7,not available,False,163070
real_estate_agent,7,16,1,32.3,not available,False,220124
real_estate_agent,10,16,1,42.6,not available,False,169014
real_estate_agent,4,4,2,51.3,not available,False,141326
real_estate_agent,1,15,1,36.0,not available,False,205278
real_estate_agent,5,10,1,37.0,not available,False,200000
real_estate_agent,4,9,2,49.1,not available,False,156823
unknown,3,9,1,44.1,not available,False,175000
unknown,18,19,2,51.1,not available,False,164384
unknown,5,9,2,57.4,not available,False,155000
unknown,4,9,2,58.8,not available,False,155000
homeowner,14,18,2,73.5,not available,False,133333
