author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,9,21,2,56.9,Зорге,True,509649
real_estate_agent,11,20,2,64.0,Шелепиха,True,468750
real_estate_agent,14,28,2,67.0,Рабочий посёлок,True,447761
real_estate_agent,16,36,1,41.1,ЦСКА,True,766423
real_estate_agent,9,21,1,42.1,Чкаловская,True,757720
real_estate_agent,1,6,2,58.8,Таганская,True,550000
real_estate_agent,9,21,2,50.3,Чкаловская,True,654076
real_estate_agent,14,41,2,49.73,Кутузовская,True,663583
real_estate_agent,1,10,2,63.5,Фрунзенская,True,533858
real_estate_agent,9,46,2,49.0,Фили,True,714286
real_estate_agent,7,19,2,77.0,Спартак,True,458442
realtor,14,40,2,65.6,ЗИЛ,True,556402
real_estate_agent,2,5,2,60.0,Парк Культуры,True,641667
real_estate_agent,10,46,2,58.5,Павелецкая,True,682051
real_estate_agent,3,6,2,82.0,Краснопресненская,True,608537
real_estate_agent,13,21,2,80.3,Раменки,True,647572
real_estate_agent,8,10,2,59.7,Таганская,True,921273
real_estate_agent,35,78,2,83.0,Деловой центр,True,783133
real_estate_agent,38,40,2,115.4,Новые Черёмушки,True,615251
real_estate_agent,2,4,2,136.6,Тульская,True,549048
real_estate_agent,16,20,2,90.0,Белорусская,True,1050000
real_estate_agent,4,10,1,24.0,not available,False,500000
real_estate_agent,6,7,2,70.0,not available,False,264286
homeowner,11,14,2,100.2,not available,False,848303
developer,24,25,1,26.21,not available,False,124970
representative_developer,1,3,2,61.2,not available,False,89900
realtor,5,15,2,37.3,not available,False,155496
representative_developer,2,3,2,67.78,not available,False,140000
real_estate_agent,15,25,1,48.0,Аметьево,True,206250
homeowner,3,14,2,52.0,Зеленоград — Крюково,True,197096
real_estate_agent,2,16,2,54.0,Ясенево,True,287037
real_estate_agent,7,10,2,48.25,not available,False,352332
real_estate_agent,15,21,1,36.5,Водный стадион,True,479452
realtor,5,6,2,70.0,Площадь Александра Невского,True,260714
real_estate_agent,18,22,1,43.2,Стрешнево,True,444444
real_estate_agent,9,45,1,46.3,Шелепиха,True,453564
real_estate_agent,1,5,2,58.8,Марксистская,True,414966
real_estate_agent,6,10,2,54.2,Киевская,True,488930
real_estate_agent,11,15,2,53.0,Динамо,True,575472
real_estate_agent,19,25,2,45.7,Фили,True,700219
